id,loss
4,2147.5493945938483
6,2181.3696051117213
9,9016.569915301834
12,5720.669172578899
15,1430.3775473843255
17,2306.3349885886882
21,2103.091012429564
28,1617.8357187682718
32,3085.233558526757
43,4548.249211903539
46,2710.1966925749284
50,1558.6119018438908
54,1558.2148636361305
62,1866.0648973635768
70,2232.752224284617
71,5343.312687263686
75,2376.798606549029
77,3214.06679096096
81,2347.44945922537
83,3290.038135163858
87,1985.9733647780126
97,2743.7430906319214
103,2147.5493945938483
119,2018.167889688772
120,2014.1286875140354
127,2084.0247138898385
138,3653.0777169007424
141,2270.122683970868
148,2150.4745073515387
150,3602.2074600289
151,2147.5493945938483
158,2147.5493945938483
160,6938.423580690495
165,1686.6067426672028
168,3946.497167738127
169,3109.2062968137398
177,2806.288620340496
178,5352.053203007501
184,2491.597208837141
194,7725.272522090849
198,1874.3417354789494
203,5839.422208955634
211,2353.1848669699325
217,1540.1878005326748
219,1602.2102160275015
221,3032.5380253931553
227,2042.6052261741806
230,2084.0247138898385
235,2267.590219723419
240,1430.3775473843255
243,2696.432210137672
249,7391.103877946529
253,3324.024376664286
258,2147.5493945938483
261,2246.312304210968
263,3497.1411948166397
264,2487.198266450808
265,5471.262865954408
268,2120.1573723758074
271,3034.9148105906065
274,6537.675974923904
275,1430.3775473843255
279,2408.5622022062626
282,2150.4745073515387
286,3691.790742936967
288,2171.3597743537484
294,2573.9428975657715
296,1527.6729744849051
297,2552.3268277222023
300,1430.3775473843255
303,8103.17158823991
314,2171.3597743537484
315,4999.750418073263
321,2147.7384058488215
323,5720.669172578899
330,3517.3673919062653
341,3856.7594086233344
342,5119.218672770845
352,1675.9734308071806
353,4948.556483348257
360,5560.880801238223
361,2318.6294872361627
362,4305.49532361213
366,1489.7016474856161
372,3486.0846440432697
376,3259.3147431869124
377,2296.133071001056
379,1632.3281612705882
380,4888.698788727336
387,2143.9677521357075
392,2719.4782030613674
394,9670.340899844061
395,1662.8700504218134
397,2147.5493945938483
407,4942.117266266023
411,4809.9458754317275
416,2508.4610917561436
417,2400.9118524580836
419,2322.8677319942017
428,5018.600889506857
431,2181.3696051117213
436,6674.356955764195
438,1468.172266149135
445,6129.255355659683
446,7812.623294291258
455,2279.1844910266304
456,2107.8350936497386
461,1471.6745843821604
463,1675.0030249526887
464,4157.3541403244035
466,3341.082382441748
467,2807.682283243782
470,1540.1878005326748
475,2184.294717869411
482,1671.3713181312182
490,3777.849933339558
496,1642.752600100403
497,4729.753311688734
508,2728.894539319438
510,1542.1087938820342
512,3868.3777782183074
513,3814.085697023084
523,2196.0768177891337
531,6284.126607885301
532,2260.1442465026576
533,2037.1062401039767
537,2048.485024664503
544,4288.306465126189
547,4669.809938132662
556,6497.869158896641
565,1565.3817394676214
566,1527.6729744849051
571,2238.421401080597
573,2658.9995296857187
574,1430.3775473843255
581,3530.6345618670885
585,2641.743552941337
589,3696.275289025897
597,2236.6122580512642
601,2934.1046318063964
602,1572.6506830332596
613,2260.1442465026576
616,1527.6729744849051
619,2175.4005652864635
622,3574.4622011440297
623,3096.7227662883242
629,2150.4745073515387
634,2147.5493945938483
638,1569.6298513543165
642,1527.6729744849051
643,2173.9438561848756
645,1647.1308020638778
648,7369.542223110837
652,2147.5493945938483
664,1538.8442461825366
666,3013.1754877345516
672,1542.1087938820342
676,2155.2426164128083
678,4101.641341527853
682,2147.5198216189065
686,3828.247932101617
688,2405.9180790977825
689,2147.5493945938483
690,2147.5493945938483
692,7855.067620407329
695,2147.5493945938483
697,3970.4593212287473
698,3167.1266710979385
706,1892.1585943856048
708,2150.4745073515387
712,4412.417849703284
715,3255.1764300417008
717,1489.7016474856161
725,3571.3953348183277
729,2084.0247138898385
737,2045.5599119068124
739,4609.316582633969
747,3841.1665244169317
753,2399.229768513225
758,3699.830356266135
759,2147.5493945938483
763,2120.1573723758074
773,6296.5971327562875
774,2528.516447962302
776,2369.047383341912
788,4024.402569298003
790,2289.412098088801
794,1620.1801566189793
801,4197.347162396076
802,2282.272025109545
805,1633.54986197109
809,5732.475690489565
812,3737.5905513623497
825,3898.4100380740542
828,2010.240566400586
830,1987.1463387693525
833,1527.6729744849051
850,3504.607476078088
852,6402.626218455288
862,2171.639481303725
863,1662.8700504218134
864,2129.225086060292
865,3691.790742936967
868,6199.159750343009
872,1665.1578651673335
879,7189.2090498656835
880,1650.7220457702047
883,1540.1878005326748
886,1632.694982666749
923,2069.507433301379
924,2147.5493945938483
932,1926.5171353637295
945,7283.563644350497
947,6604.463339609999
948,2219.1778022405733
955,4377.630016994528
963,4522.12440351074
979,1572.6506830332596
